"tempo","valence","liveness","instrumentalness","acousticness","speechiness","loudness","energy","danceability","WeekDate","track_name.x","track_name.y","on_chart"
158.066,0.351,0.396,0,0.0133,0.616,-8.929,0.372,0.848,NA,"On BS",NA,0
142.091,0.453,0.321,1.7e-06,0.0556,0.371,-8.395,0.433,0.84,NA,"BackOutsideBoyz",NA,0
144.055,0.687,0.129,1.74e-06,0.00249,0.182,-7.528,0.609,0.932,NA,"Privileged Rappers",NA,0
129.953,0.184,0.158,0,0.00792,0.0504,-6.423,0.716,0.768,NA,"Spin Bout U",NA,0
137.047,0.124,0.204,0,0.215,0.0979,-11.901,0.393,0.481,NA,"Hours In Silence",NA,0
80.01,0.555,0.135,0,0.0841,0.426,-7.501,0.516,0.504,NA,"Treacherous Twins",NA,0
103.977,0.277,0.312,0,0.0107,0.0739,-8.553,0.584,0.725,NA,"Circo Loco",NA,0
122.027,0.404,0.331,0,0.0806,0.135,-6.659,0.617,0.752,NA,"Pussy & Millions (feat. Travis Scott)",NA,0
161.987,0.0879,0.22,3.96e-05,0.0114,0.29,-7.47,0.53,0.571,NA,"Broke Boys",NA,0
76.226,0.265,0.429,0,0.172,0.377,-5.832,0.696,0.598,NA,"Middle of the Ocean",NA,0
198.276,0.357,0.208,0,0.239,0.46,-6.334,0.521,0.589,NA,"Jumbotron Shit Poppin",NA,0
164.915,0.0904,0.145,0.00253,0.0414,0.146,-6.749,0.497,0.643,NA,"More M’s",NA,0
180.862,0.189,0.163,2.53e-05,0.0461,0.376,-8.321,0.684,0.485,NA,"3AM on Glenwood",NA,0
83.89,0.0782,0.105,2.61e-05,0.47,0.0603,-11.877,0.248,0.398,NA,"I Guess It’s Fuck Me",NA,0
